date,expo_type
2020-06-12,Weekly
2020-06-19,Weekly
2020-06-19,Monthly
2020-06-26,Weekly
2020-07-03,Weekly
2020-07-10,Weekly
2020-07-17,Weekly
2020-07-17,Monthly
2020-07-24,Weekly
2020-07-31,Weekly
2020-08-07,Weekly
2020-08-14,Weekly
2020-08-21,Weekly
2020-08-21,Monthly
2020-08-28,Weekly
2020-09-04,Weekly
2020-09-11,Weekly
2020-09-18,Weekly
2020-09-18,Monthly
2020-09-25,Weekly
2020-10-02,Weekly
2020-10-09,Weekly
2020-10-16,Weekly
2020-10-16,Monthly
2020-10-23,Weekly
2020-10-30,Weekly
2020-11-06,Weekly
2020-11-13,Weekly
2020-11-20,Weekly
2020-11-20,Monthly
2020-11-27,Weekly
2020-12-04,Weekly
2020-12-11,Weekly
2020-12-18,Weekly
2020-12-18,Monthly
2020-12-25,Weekly
2020-12-31,Weekly
2021-01-08,Weekly
2021-01-15,Weekly
2021-01-15,Monthly
2021-01-22,Weekly
2021-01-29,Weekly
2021-02-05,Weekly
2021-02-12,Weekly
2021-02-19,Weekly
2021-02-19,Monthly
2021-02-26,Weekly
2021-03-05,Weekly
2021-03-12,Weekly
2021-03-19,Weekly
2021-03-19,Monthly
2021-03-26,Weekly
2021-04-02,Weekly
2021-04-09,Weekly
2021-04-16,Weekly
2021-04-16,Monthly
2021-04-23,Weekly
2021-04-30,Weekly
2021-05-07,Weekly
2021-05-14,Weekly
2021-05-21,Weekly
2021-05-21,Monthly
2021-05-28,Weekly
2021-06-04,Weekly
2021-06-11,Weekly
2021-06-18,Weekly
2021-06-18,Monthly
2021-06-25,Weekly
2021-07-02,Weekly
2021-07-09,Weekly
2021-07-16,Weekly
2021-07-16,Monthly
2021-07-23,Weekly
2021-07-30,Weekly
2021-08-06,Weekly
2021-08-13,Weekly
2021-08-20,Weekly
2021-08-20,Monthly
2021-08-27,Weekly
2021-09-03,Weekly
2021-09-10,Weekly
2021-09-17,Weekly
2021-09-17,Monthly
2021-09-24,Weekly
2021-10-01,Weekly
2021-10-08,Weekly
2021-10-15,Weekly
2021-10-15,Monthly
2021-10-22,Weekly
2021-10-29,Weekly
2021-11-05,Weekly
2021-11-12,Weekly
2021-11-19,Weekly
2021-11-19,Monthly
2021-11-26,Weekly
2021-12-03,Weekly
2021-12-10,Weekly
2021-12-17,Weekly
2021-12-17,Monthly
2021-12-24,Weekly
2021-12-31,Weekly
