Date,Open,High,Low,Close,Adj Close,Volume
4/1/08,94.809998,94.849998,93.779999,93.93,65.436073,3821800
4/2/08,93.989998,94.860001,93.989998,94.129997,65.575401,3794200
4/3/08,94.5,94.669998,94.120003,94.339996,65.72168,2839100
4/4/08,95.169998,95.559998,94.989998,95.199997,66.320793,1745200
4/7/08,94.620003,94.779999,93.900002,94.699997,65.97245,2231800
4/8/08,95.18,95.239998,94.260002,94.370003,65.742569,1305200
4/9/08,94.559998,95.639999,94.550003,95.349998,66.425262,2883600
4/10/08,95.309998,95.5,94.57,95.029999,66.202362,1846500
4/11/08,95.599998,95.919998,95.470001,95.669998,66.648224,1987700
4/14/08,95.339996,95.699997,94.989998,95.110001,66.258064,3195300
4/15/08,94.419998,94.580002,93.900002,93.93,65.436073,2821600
4/16/08,93.800003,94.059998,92.43,93.010002,64.795181,4691100
4/17/08,92.980003,93.18,92.239998,92.849998,64.683662,2020000
4/18/08,92,92.879997,91.82,92.769997,64.62793,2199700
4/21/08,92.410004,93.279999,92.300003,93.139999,64.885704,2805800
4/22/08,92.910004,93.669998,92.910004,93.459999,65.108597,1799700
4/23/08,93.089996,93.629997,92.529999,93.150002,64.892708,1221100
4/24/08,92.260002,92.459999,91.809998,92.360001,64.342308,3213600
4/25/08,92.139999,92.25,91.5,91.82,63.966145,1742000
4/28/08,91.529999,92.349998,91.410004,92.099998,64.161224,1883900
4/29/08,92.379997,92.860001,92.150002,92.449997,64.404976,1269100
4/30/08,92.419998,93.199997,91.849998,93.110001,64.864792,2827500
5/1/08,93.440002,93.650002,92.379997,92.779999,64.868996,3226500
5/2/08,91.779999,92.410004,91.540001,91.610001,64.050934,2730800
5/5/08,91.860001,91.870003,91.139999,91.610001,64.050934,1309300
5/6/08,92.010002,92.080002,90.790001,90.949997,63.5895,4037500
5/7/08,90.730003,91.43,90.620003,91.339996,63.862175,3876200
5/8/08,91.440002,92.199997,91.419998,92.160004,64.435493,2829500
5/9/08,92.730003,92.870003,92.209999,92.5,64.673256,2064300
5/12/08,92.760002,93.160004,92.349998,92.360001,64.575325,1947400
5/13/08,91.830002,92.050003,91.309998,91.349998,63.86919,2123300
5/14/08,92,92.010002,90.720001,91.389999,63.897133,2600900
5/15/08,91.169998,92.330002,91.089996,92.220001,64.477409,2164300
5/16/08,91.879997,92.889999,91.779999,91.839996,64.211761,1902600
5/19/08,92.260002,92.260002,91.300003,91.959999,64.2957,1348200
5/20/08,92.440002,92.5,91.900002,92.440002,64.631248,1466000
5/21/08,92.050003,92.669998,91.860001,92.459999,64.645294,1762100
5/22/08,91.93,91.93,90.839996,91.370003,63.883179,2855900
5/23/08,91.830002,92.300003,91.699997,91.769997,64.162804,1802000
5/27/08,91.379997,91.559998,90.980003,91.150002,63.729343,1985800
5/28/08,90.540001,90.660004,90.139999,90.339996,63.163044,3250700
5/29/08,90.010002,90.099998,89.139999,89.690002,62.708527,3302400
5/30/08,90.129997,90.440002,90.059998,90.279999,63.12109,2514600
6/2/08,89.980003,90.639999,89.620003,90.300003,63.364555,3076400
6/3/08,90.059998,91.410004,89.809998,90.949997,63.820679,2447700
6/4/08,91.389999,91.389999,89.900002,90.139999,63.252247,2813000
6/5/08,89.82,90.029999,89.449997,89.599998,62.87339,2632200
6/6/08,90.440002,91.089996,90.209999,90.760002,63.687351,3864800
6/9/08,90.480003,91.389999,90.190002,90.760002,63.687351,1812000
6/10/08,90.650002,90.709999,89.699997,90.169998,63.273357,1935300
6/11/08,90.050003,90.720001,89.709999,89.959999,63.125984,2265400
6/12/08,89.559998,89.639999,88.82,89.059998,62.494473,4413100
6/13/08,88.970001,89.540001,88.68,88.870003,62.36113,1983600
6/16/08,89.110001,89.18,88.620003,88.889999,62.375107,1756800
6/17/08,89.150002,89.269997,88.589996,89.07,62.501431,1712200
6/18/08,89.290001,89.970001,89.089996,89.82,63.027729,2590000
6/19/08,89.519997,89.75,89.029999,89.290001,62.655834,1700500
6/20/08,89.940002,90.07,89.690002,89.809998,63.020718,4580900
6/23/08,90.080002,90.43,89.830002,90,63.154068,1594100
6/24/08,90.379997,90.809998,90.139999,90.599998,63.575058,3118400
6/25/08,90.650002,90.760002,89.809998,90.639999,63.603134,3251600
6/26/08,91,91.440002,90.790001,91.25,64.031181,4052300
6/27/08,91.730003,92.440002,91.449997,92.32,64.782013,4144800
6/30/08,92.410004,92.82,92.080002,92.339996,64.796036,3743000
7/1/08,92.690002,92.769997,91.68,91.790001,64.642494,3805100
7/2/08,91.959999,92.379997,91.870003,92.269997,64.980522,2413700
7/3/08,91.709999,92.300003,91.540001,92.07,64.839722,1405100
7/7/08,92.07,93.150002,91.580002,92.489998,65.135529,3528400
7/8/08,92.5,93.139999,92.419998,93.089996,65.55806,2176600
7/9/08,92.940002,93.639999,92.919998,93.5,65.846786,1582000
7/10/08,93.330002,93.760002,92.940002,93.489998,65.839684,2723600
7/11/08,93.519997,93.739998,91.860001,92.160004,64.903069,5466000
7/14/08,92.379997,93.260002,92.290001,92.970001,65.473549,4135400
7/15/08,93.07,93.43,92.699997,92.940002,65.452408,4541400
7/16/08,92.080002,92.239998,91.209999,91.260002,64.269249,3435900
7/17/08,91.260002,91.610001,90.559998,90.790001,63.938278,5899900
7/18/08,90.760002,91.199997,90.300003,90.449997,63.698814,3475200
7/21/08,90.449997,90.900002,90.25,90.800003,63.945358,3657200
7/22/08,90.639999,90.760002,90.029999,90.349998,63.628414,2675200
7/23/08,90.220001,90.370003,89.75,90.169998,63.50161,2871900
7/24/08,90.349998,91.25,90.349998,91.050003,64.121346,2613300
7/25/08,90.550003,90.839996,90,90.139999,63.480507,3765300
7/28/08,90.949997,91.470001,90.699997,91.050003,64.121346,1275900
7/29/08,90.660004,90.989998,90.309998,90.68,63.860832,1349100
7/30/08,90.089996,91.290001,90.029999,90.769997,63.924187,1667500
7/31/08,91.720001,92.050003,91.269997,91.669998,64.558022,3898700
8/1/08,90.970001,91.559998,90.830002,91.540001,64.700775,1804800
8/4/08,91.089996,91.639999,91.010002,91.330002,64.552376,2029900
8/5/08,91.349998,91.599998,90.620003,90.650002,64.071739,2191200
8/6/08,90.410004,90.410004,89.82,90.279999,63.810181,3139500
8/7/08,90.629997,91.900002,90.43,91.75,64.849228,2765600
8/8/08,91.889999,92.080002,91.540001,92,65.025871,1035400
8/11/08,91.779999,91.779999,90.599998,91.120003,64.403931,3939400
8/12/08,91.809998,92.029999,91.699997,91.970001,65.004707,1315000
8/13/08,92.300003,92.349998,91.459999,91.650002,64.778542,1940300
8/14/08,92.260002,92.599998,92.07,92.239998,65.195518,2605300
8/15/08,92.669998,93.199997,92.57,93.040001,65.761009,1964900
8/18/08,93.080002,93.540001,92.959999,93.410004,66.022507,1262200
8/19/08,93.440002,93.529999,92.889999,93.050003,65.768059,1944700
8/20/08,93.379997,93.709999,93.150002,93.309998,65.951851,2500000
8/21/08,93.629997,93.629997,92.75,93.139999,65.831673,2267000
8/22/08,93.110001,93.169998,92.639999,93.080002,65.789284,1990000
8/25/08,94.120003,94.330002,93.849998,94.010002,66.446609,2028300
8/26/08,93.959999,94.199997,93.709999,94.089996,66.503151,1270900
8/27/08,93.489998,94.290001,93.440002,94.25,66.616234,1555300
